,hockey_score_total_away,hockey_score_total_home,hockey_away_winner,hockey_home_winner,hockey_team_1,isaway1,hockey_team_2,isaway2,hockey_score_away,hockey_score_home,hockey_ml_away,hockey_ml_home,hockey_spread_line_away,hockey_spread_line_home,hockey_spread_line_away_money,hockey_spread_line_home_money,hockey_spread_line_away_delta,hockey_spread_line_home_delta,hockey_over,hockey_over_money,hockey_under_money,hockey_over_money_delta,hockey_under_money_delta,hockey_over_delta,hockey_date_updated
432,2,3,0,1,Dallas Stars,True,San Jose Sharks,False,"[0, 1, 1]","[0, 1, 2]",185.0,-200.0,1.5,-1.5,-136.0,126.0,-1.0,1.0,6.0,-110.0,100.0,6.0,-6.0,0.0,2018-12-14T00:38:13.257562Z
433,1,4,0,1,Toronto Maple Leafs,True,Tampa Bay Lightning,False,"[1, 0, 0]","[1, 3, 0]",124.0,-134.0,1.5,-1.5,-210.0,190.0,-10.0,5.0,6.5,-124.0,114.0,1.0,-1.0,0.0,2018-12-14T00:36:51.144908Z
434,4,5,0,1,Edmonton Oilers,True,Winnipeg Jets,False,"[1, 3, 0, 0]","[2, 1, 1, 1]",165.0,-175.0,1.5,-1.5,-165.0,155.0,-5.0,5.0,6.0,-120.0,110.0,-5.0,5.0,0.0,2018-12-14T00:53:18.431537Z
435,1,4,0,1,Los Angeles Kings,True,Columbus Blue Jackets,False,"[1, 0, 0]","[2, 2, 0]",185.0,-200.0,1.5,-1.5,-145.0,135.0,-5.0,5.0,6.0,105.0,-115.0,5.0,-5.0,0.0,2018-12-13T23:46:40.899823Z
436,4,3,1,0,Arizona Coyotes,True,New York Rangers,False,"[0, 1, 2, 1]","[2, 1, 0, 0]",150.0,-160.0,1.5,-1.5,-180.0,168.0,5.0,-2.0,6.0,115.0,-125.0,-5.0,5.0,0.0,2018-12-15T00:05:19.201845Z
437,4,5,0,1,Vegas Golden Knights,True,New Jersey Devils,False,"[3, 1, 0, 0]","[0, 2, 2, 1]",-140.0,130.0,-1.5,1.5,190.0,-210.0,-10.0,10.0,6.0,-110.0,100.0,4.0,-4.0,0.0,2018-12-15T00:05:05.518365Z
438,3,4,0,1,Detroit Red Wings,True,New York Islanders,False,"[2, 0, 1, 0, 0]","[1, 0, 2, 0, 1]",190.0,-210.0,1.5,-1.5,-135.0,125.0,10.0,-10.0,6.0,103.0,-113.0,-2.0,2.0,0.0,2018-12-15T23:00:49.828867Z
439,2,5,0,1,Ottawa Senators,True,Montreal Canadiens,False,"[1, 1, 0]","[1, 0, 4]",225.0,-245.0,1.5,-1.5,-110.0,100.0,-210.0,210.0,6.5,-115.0,105.0,-2.0,2.0,0.0,2018-12-15T23:54:07.698058Z
440,4,2,1,0,Ottawa Senators,True,Detroit Red Wings,False,"[2, 0, 2]","[1, 1, 0]",125.0,-135.0,1.5,-1.5,-203.0,187.0,-1.0,0.0,6.0,100.0,-110.0,210.0,-210.0,0.0,2018-12-14T23:27:30.230386Z
441,3,4,0,1,Buffalo Sabres,True,Washington Capitals,False,"[1, 2, 0, 0, 0]","[2, 1, 0, 0, 1]",130.0,-140.0,1.5,-1.5,-188.0,173.0,2.0,-2.0,6.5,-105.0,-105.0,4.0,-4.0,0.0,2018-12-15T23:19:37.484898Z
442,3,4,0,1,Los Angeles Kings,True,Pittsburgh Penguins,False,"[0, 2, 1, 0]","[2, 1, 0, 1]",165.0,-175.0,1.5,-1.5,-153.0,143.0,2.0,-2.0,6.0,-109.0,-101.0,1.0,-201.0,0.0,2018-12-15T14:34:59.974507Z
443,6,5,1,0,Washington Capitals,True,Carolina Hurricanes,False,"[1, 3, 1, 0, 1]","[2, 2, 1, 0, 0]",-120.0,110.0,-1.5,1.5,188.0,-205.0,-9.0,12.0,6.5,113.0,-123.0,2.0,-2.0,0.0,2018-12-14T22:34:44.537583Z
444,3,5,0,1,Boston Bruins,True,Pittsburgh Penguins,False,"[0, 1, 2]","[1, 2, 2]",155.0,-165.0,1.5,-1.5,-175.0,165.0,10.0,-5.0,6.0,-107.0,-103.0,3.0,-203.0,0.0,2018-12-14T22:56:42.362842Z
445,2,1,1,0,Anaheim Ducks,True,Columbus Blue Jackets,False,"[1, 0, 0, 1]","[1, 0, 0, 0]",161.0,-171.0,1.5,-1.5,-165.0,155.0,5.0,-5.0,6.0,103.0,-113.0,2.0,-2.0,0.0,2018-12-15T23:53:53.515232Z
446,1,4,0,1,Philadelphia Flyers,True,Edmonton Oilers,False,"[0, 0, 1]","[1, 2, 1]",104.0,-114.0,1.5,-1.5,-230.0,210.0,10.0,-10.0,6.5,115.0,-125.0,10.0,-10.0,0.0,2018-12-14T23:36:10.819303Z
447,2,1,1,0,Calgary Flames,True,Minnesota Wild,False,"[1, 0, 1]","[0, 1, 0]",113.0,-123.0,1.5,-1.5,-227.0,207.0,-2.0,2.0,6.0,-115.0,105.0,5.0,-5.0,0.0,2018-12-15T16:28:51.390297Z
448,3,4,0,1,Toronto Maple Leafs,True,Florida Panthers,False,"[0, 0, 3, 0]","[1, 1, 1, 1]",-148.0,138.0,-1.5,1.5,160.0,-170.0,-7.0,9.0,6.5,-115.0,105.0,8.0,-8.0,0.0,2018-12-15T23:47:39.235181Z
449,4,3,1,0,Winnipeg Jets,True,Chicago Blackhawks,False,"[1, 2, 0, 1]","[1, 1, 1, 0]",-135.0,125.0,-1.5,1.5,185.0,-200.0,3.0,-3.0,6.5,-102.0,-108.0,4.0,-4.0,0.0,2018-12-15T01:29:07.991332Z
450,4,3,1,0,Arizona Coyotes,True,New York Rangers,False,"[0, 1, 2, 1]","[2, 1, 0, 0]",150.0,-160.0,1.5,-1.5,-180.0,168.0,5.0,-2.0,6.0,115.0,-125.0,-5.0,5.0,0.0,2018-12-15T00:05:19.201845Z
451,3,4,0,1,Colorado Avalanche,True,St. Louis Blues,False,"[2, 0, 1, 0]","[2, 0, 1, 1]",-110.0,100.0,-1.5,1.5,236.0,-256.0,1.0,-1.0,6.5,105.0,-115.0,-3.0,3.0,0.0,2018-12-14T21:01:25.140202Z
